PM 2.5,WD
361.54,137.45
405.96,187.16
360.71,110.91
271.92,136.27
325.86,293.24
191.99,174.35
184.67,145.81
165.66,110.21
152.71,111.82
171.46,102.89
280.35,135.62
297.38,156.57
292.79,176.51
90.4,116.57
156.19,111.1
352.91,178.18
340.89,131.53
262.98,115.99
281.47,187.91
405.21,186.39
224.84,252.31
58.86,244.95
122.83,114.73
109.86,140.22
71.59,131.47
94,117.3
143.5,97.53
122.25,101.9
152.71,101.76
242.23,107.67
264.13,240.15
222.25,170.8
186.88,79.8
129.38,121.53
150.62,136.5
292.15,222.46
192.46,268.09
67.04,251.64
62.54,93.48
80.95,89.86
126.83,94.97
136.46,143.22
206.75,146.75
207.42,247.7
193.22,243.28
141.38,126.61
121.3,70.74
97.29,85.4
110.16,235.67
154.93,192.91
118.34,216.12
104.1,230.49
73.97,79
51.99,78.02
82.31,85.59
94.38,161.03
67.72,209.03
56.09,105.8
87.21,95.9
104.42,112.34
119.46,209.2
80.04,223.91
91.79,100.19
67.29,72.5
72.16,90.4
102.17,149.58
96.71,122.27
66.79,97.58
73.96,104.28
95.96,231.28
50.5,100.07
94.54,111
114.44,120.47
72.67,100.63
77.04,85.11
93.21,93.59
111.8,100.54
100.43,156.47
102.41,229.2
104.62,104.45
31.48,88.71
54.7,73.23
46.88,78.79
66.78,87.4
73.63,81.27
72.66,97.14
131.49,158.68
85.12,125.83
99.46,168.63
48.03,95.12
44.33,77.68
97.22,127.44
85.62,125.15
118.2,162.97
126.81,187.65
116.17,147.77
162.54,225.93
93.42,199.65
105.86,205.01
90.85,107.2
64.85,111.54
64,121.44
56.16,100.25
48.01,91.96
40.16,95.42
46.44,208.33
27.36,272.19
41.83,120.98
63.38,113.51
99.26,143.91
102.18,102.98
103.8,108.23
102.77,244.98
87.04,221.37
81.46,223.66
80.42,85.39
56.08,80.75
62,77.72
66.96,109.29
86.42,240.92
103.29,140.89
66.92,173.85
49,174.38
83.62,128.13
60.36,132.64
137.35,114.75
126.73,156.6
138.08,82.7
124.2,97.86
87.55,91.53
101.29,89.51
165.81,100.78
141.71,120.08
58.08,114.19
100.54,195.28
79.38,159.46
91.31,169.77
35.38,81.47
99.9,62.49
46.94,106.9
80.12,99.3
66.58,165.04
114.46,179.81
38.33,115.79
34.6,68.65
45.12,74.14
64.18,121.82
54.24,82.65
63.2,97.89
74.62,158.74
71.46,146.53
103.92,218.37
70.14,225.7
55.62,243.94
71.67,229.46
75.44,229.79
62.84,201.58
57.71,206.11
76.43,259.7
91.97,158.72
66.05,189.56
110.29,149.04
50.25,211.9
47.91,209.72
46.18,82.62
72.49,128.49
33.64,81.65
33.25,58.77
21.99,127.58
73.56,170.13
46.02,238.36
62.34,167.34
61.59,125.72
38.94,227.05
27.82,207.92
61.92,146.02
91.83,93.4
59.71,104.57
58.02,81.89
51.18,109.23
61.14,109.04
55.23,112.15
62.32,128.44
37.29,254.43
35,209.88
58.29,180.03
42.52,241.87
None,None
47.96,202.92
44.58,240.68
73.83,153.76
74.08,170.71
94.08,128.36
65.6,153.99
67.08,298.18
45.24,197.91
27.5,166.1
30.96,134.09
28.85,263.56
61.5,188.33
46.71,206.37
53.42,212.29
80.65,174.69
109.92,159.56
64.37,199.78
33.4,197.93
36.81,193.34
38.14,193.17
23.35,224.03
38.39,209.23
32.43,177.35
34.07,190.39
35.04,233.76
28.28,192.73
46.16,174.39
39.27,186.33
46.31,233.32
22.71,216.91
34.33,153.35
45.21,193.54
20.71,200.62
15.67,244.47
23,273.84
14.83,258.66
17.79,151.84
31.31,138.12
20.71,154.54
15.38,202.3
9.67,247.46
12.3,176.41
37.03,105.49
31.33,83.15
40,107.74
45.62,172.45
43,197.14
57.83,197.15
39,209.38
39.18,192.15
50.62,164.83
31.58,193.55
29.92,247.29
45.92,160.12
56.5,228.73
30.17,216.86
32.42,161.63
43,125.49
58.21,177.12
35.25,220.49
39.42,231.56
34.93,239.26
25.38,135.48
38.5,90.89
47.92,77.57
61.25,209.07
44.29,264.33
31.54,243.1
