PM 2.5,WD,Direction
361.54,137.45,SE
405.96,187.16,S
360.71,110.91,ESE
271.92,136.27,SE
325.86,293.24,WNW
191.99,174.35,S
184.67,145.81,SE
165.66,110.21,ESE
152.71,111.82,ESE
171.46,102.89,ESE
280.35,135.62,SE
297.38,156.57,SSE
292.79,176.51,S
90.4,116.57,ESE
156.19,111.1,ESE
352.91,178.18,S
340.89,131.53,SE
262.98,115.99,ESE
281.47,187.91,S
405.21,186.39,S
224.84,252.31,WSW
58.86,244.95,WSW
122.83,114.73,ESE
109.86,140.22,SE
71.59,131.47,SE
94.0,117.3,ESE
143.5,97.53,E
122.25,101.9,ESE
152.71,101.76,ESE
242.23,107.67,ESE
264.13,240.15,WSW
222.25,170.8,S
186.88,79.8,E
129.38,121.53,ESE
150.62,136.5,SE
292.15,222.46,SW
192.46,268.09,W
67.04,251.64,WSW
62.54,93.48,E
80.95,89.86,E
126.83,94.97,E
136.46,143.22,SE
206.75,146.75,SSE
207.42,247.7,WSW
193.22,243.28,WSW
141.38,126.61,SE
121.3,70.74,ENE
97.29,85.4,E
110.16,235.67,SW
154.93,192.91,SSW
118.34,216.12,SW
104.1,230.49,SW
73.97,79.0,E
51.99,78.02,ENE
82.31,85.59,E
94.38,161.03,SSE
67.72,209.03,SSW
56.09,105.8,ESE
87.21,95.9,E
104.42,112.34,ESE
119.46,209.2,SSW
80.04,223.91,SW
91.79,100.19,E
67.29,72.5,ENE
72.16,90.4,E
102.17,149.58,SSE
96.71,122.27,ESE
66.79,97.58,E
73.96,104.28,ESE
95.96,231.28,SW
50.5,100.07,E
94.54,111.0,ESE
114.44,120.47,ESE
72.67,100.63,E
77.04,85.11,E
93.21,93.59,E
111.8,100.54,E
100.43,156.47,SSE
102.41,229.2,SW
104.62,104.45,ESE
31.48,88.71,E
54.7,73.23,ENE
46.88,78.79,E
66.78,87.4,E
73.63,81.27,E
72.66,97.14,E
131.49,158.68,SSE
85.12,125.83,SE
99.46,168.63,SSE
48.03,95.12,E
44.33,77.68,ENE
97.22,127.44,SE
85.62,125.15,SE
118.2,162.97,SSE
126.81,187.65,S
116.17,147.77,SSE
162.54,225.93,SW
93.42,199.65,SSW
105.86,205.01,SSW
90.85,107.2,ESE
64.85,111.54,ESE
64.0,121.44,ESE
56.16,100.25,E
48.01,91.96,E
40.16,95.42,E
46.44,208.33,SSW
27.36,272.19,W
41.83,120.98,ESE
63.38,113.51,ESE
99.26,143.91,SE
102.18,102.98,ESE
103.8,108.23,ESE
102.77,244.98,WSW
87.04,221.37,SW
81.46,223.66,SW
80.42,85.39,E
56.08,80.75,E
62.0,77.72,ENE
66.96,109.29,ESE
86.42,240.92,WSW
103.29,140.89,SE
66.92,173.85,S
49.0,174.38,S
83.62,128.13,SE
60.36,132.64,SE
137.35,114.75,ESE
126.73,156.6,SSE
138.08,82.7,E
124.2,97.86,E
87.55,91.53,E
101.29,89.51,E
165.81,100.78,E
141.71,120.08,ESE
58.08,114.19,ESE
100.54,195.28,SSW
79.38,159.46,SSE
91.31,169.77,S
35.38,81.47,E
99.9,62.49,ENE
